criterion,factor,new_top1,top1_changed,spearman_vs_base
C1,0.5,WSP Train (pond series),False,1.0
C1,0.8,WSP Train (pond series),False,1.0
C1,0.9,WSP Train (pond series),False,1.0
C1,1.1,WSP Train (pond series),False,1.0
C1,1.2,WSP Train (pond series),False,1.0
C1,1.5,WSP Train (pond series),False,1.0
C1,2.0,WSP Train (pond series),False,1.0
C2,0.5,WSP Train (pond series),False,0.9762
C2,0.8,WSP Train (pond series),False,1.0
C2,0.9,WSP Train (pond series),False,1.0
C2,1.1,WSP Train (pond series),False,0.9762
C2,1.2,WSP Train (pond series),False,0.9524
C2,1.5,WSP Train (pond series),False,0.9524
C2,2.0,WSP Train (pond series),False,0.8333
C3,0.5,WSP Train (pond series),False,0.9762
C3,0.8,WSP Train (pond series),False,0.9762
C3,0.9,WSP Train (pond series),False,1.0
C3,1.1,WSP Train (pond series),False,1.0
C3,1.2,WSP Train (pond series),False,1.0
C3,1.5,WSP Train (pond series),False,1.0
C3,2.0,WSP Train (pond series),False,0.9762
C4,0.5,WSP Train (pond series),False,0.9762
C4,0.8,WSP Train (pond series),False,1.0
C4,0.9,WSP Train (pond series),False,1.0
C4,1.1,WSP Train (pond series),False,1.0
C4,1.2,WSP Train (pond series),False,1.0
C4,1.5,WSP Train (pond series),False,1.0
C4,2.0,WSP Train (pond series),False,0.9762
C6,0.5,WSP Train (pond series),False,1.0
C6,0.8,WSP Train (pond series),False,1.0
C6,0.9,WSP Train (pond series),False,1.0
C6,1.1,WSP Train (pond series),False,1.0
C6,1.2,WSP Train (pond series),False,1.0
C6,1.5,WSP Train (pond series),False,1.0
C6,2.0,WSP Train (pond series),False,1.0
C7,0.5,WSP Train (pond series),False,0.9524
C7,0.8,WSP Train (pond series),False,1.0
C7,0.9,WSP Train (pond series),False,1.0
C7,1.1,WSP Train (pond series),False,1.0
C7,1.2,WSP Train (pond series),False,1.0
C7,1.5,WSP Train (pond series),False,0.9762
C7,2.0,WSP Train (pond series),False,0.9286
C8,0.5,WSP Train (pond series),False,0.9048
C8,0.8,WSP Train (pond series),False,0.9762
C8,0.9,WSP Train (pond series),False,1.0
C8,1.1,WSP Train (pond series),False,1.0
C8,1.2,WSP Train (pond series),False,1.0
C8,1.5,WSP Train (pond series),False,0.9762
C8,2.0,WSP Train (pond series),False,0.881
